index,question,answer
1,What team does LeBron James currently play for?,LeBron James is currently playing for the Los Angeles Lakers.
2,How many NBA championships has LeBron James won?,LeBron James has won four NBA championships.
3,What is LeBron James' nickname?,LeBron James is nicknamed 'King James'.
4,Which high school did LeBron James attend?,"LeBron James attended St. Vincent–St. Mary High School in Akron, Ohio."
5,When did LeBron James win his first NBA championship?,LeBron James won his first NBA championship in the year 2012.
6,Is LeBron James the all-time leading scorer in NBA history?,"Yes, LeBron James is the all-time leading scorer in NBA history."
7,Has LeBron James ever won an Olympic gold medal?,"Yes, LeBron James has won two Olympic gold medals as a member of the U.S. men's national team."
8,How many times has LeBron been named NBA MVP?,LeBron James has been named the NBA Most Valuable Player (MVP) four times.
9,In which year did LeBron James star in 'Space Jam: A New Legacy'?,LeBron James starred in the sports film 'Space Jam: A New Legacy' in the year 2021.
10,Did LeBron James lead the Cavaliers to their first NBA Finals appearance in 2007?,"Yes, LeBron James led the Cleveland Cavaliers to their first NBA Finals appearance in 2007."
11,Where was LeBron James born?,"LeBron James was born in Akron, Ohio."
12,What was the name of LeBron James' youth basketball team?,LeBron James played for the Northeast Ohio Shooting Stars in his youth.
13,Who introduced LeBron James to basketball?,"LeBron James was introduced to basketball by Frank Walker, a local youth football coach."
14,What nickname did LeBron James and his friends give themselves?,LeBron James and his friends called themselves the 'Fab Four'.
15,At what age did LeBron James move in with the family of Frank Walker?,LeBron James moved in with Frank Walker's family when he was nine years old.
16,Why did LeBron James' mother allow him to move in with the Walker family?,"LeBron's mother, Gloria, allowed him to move with the Walker family for a more stable family environment."
17,What kind of school did LeBron James attend for high school?,"LeBron James attended St. Vincent–St. Mary High School, a private Catholic school."
18,How did LeBron James' high school basketball team fare in competitions?,LeBron James' high school basketball team enjoyed success on both local and national levels.
19,What was LeBron James' average points per game as a freshman?,"As a freshman, LeBron James averaged 21 points per game."
20,How many rebounds did LeBron average as a sophomore?,"During his sophomore year, LeBron James averaged 7.2 rebounds per game."
21,Where did St. Vincent–St. Mary play some of their home games to accommodate the large crowds?,"To accommodate large crowds, some home games were played at the University of Akron's Rhodes Arena."
22,What was the Fighting Irish's season record when LeBron was a freshman?,The Fighting Irish went 27–0 when LeBron was a freshman.
23,What honors did LeBron James receive as a sophomore?,LeBron James was named Ohio Mr. Basketball and selected to the USA Today All-USA First Team as a sophomore.
24,How many assists did LeBron average during his sophomore year?,LeBron James averaged 5.8 assists per game during his sophomore year.
25,What was the team's record in LeBron's sophomore season?,"In LeBron's sophomore season, the Fighting Irish finished with a 26–1 record."
26,How many steals did LeBron average as a sophomore?,LeBron James averaged 3.8 steals per game as a sophomore.
27,What was LeBron James' height at the age of 16?,"At the age of 16, LeBron James had grown to a height of 6 feet 7 inches."
28,Which magazine featured LeBron James during the summer before his junior year?,LeBron James was featured in a feature article in Slam magazine during the summer before his junior year.
29,What historical achievement did LeBron James earn with Sports Illustrated during his junior year?,LeBron James became the first high school basketball underclassman to appear on the cover of Sports Illustrated during his junior year.
30,What were LeBron James' basketball statistics in his junior year?,"In his junior year, LeBron James averaged 29 points, 8.3 rebounds, 5.7 assists, and 3.3 steals per game."
31,What honor did LeBron James receive for the first time as a junior?,LeBron James became the first junior to be named male basketball Gatorade National Player of the Year.
32,What was St. Vincent–St. Mary's record during LeBron's junior year?,St. Vincent–St. Mary finished the year with a 23–4 record during LeBron's junior year.
33,Why did LeBron James petition for a change to the NBA draft rules?,LeBron James petitioned for a change to the NBA draft eligibility rules in an attempt to enter the 2002 NBA draft.
34,What reason did LeBron James give for using marijuana during this period?,LeBron James said he used marijuana to help cope with the stress from the constant media attention he was receiving.
35,What was the average number of points LeBron James scored during his senior year?,"During his senior year, LeBron James averaged 31.6 points per game."
36,How were St. Vincent–St. Mary's games made available to fans during LeBron's senior year?,St. Vincent–St. Mary's games were offered on a pay-per-view basis by Time Warner Cable during LeBron's senior year.
37,Which prestigious high school basketball games did LeBron James participate in during his senior year?,"LeBron James participated in the EA Sports Roundball Classic, the Jordan Brand Capital Classic, and the McDonald's All-American Game during his senior year."
38,What was the result of LeBron James' participation in high school all-star games regarding NCAA eligibility?,"LeBron James lost his NCAA eligibility as a result of participating in multiple high school all-star games, making his decision to enter the 2003 NBA draft official."
39,What were LeBron James' average rebounds per game during his senior year?,LeBron James averaged 9.6 rebounds per game during his senior year.
40,"Who did St. Vincent–St. Mary play in a nationally televised game on December 12, 2002?","On December 12, 2002, St. Vincent–St. Mary played against Oak Hill Academy in a game televised nationally on ESPN2."
41,What other awards did LeBron James win during his senior year besides being named Ohio Mr. Basketball?,"Besides being named Ohio Mr. Basketball, LeBron James was selected to the USA Today All-USA First Team and named Gatorade National Player of the Year for the second consecutive year during his senior year."
42,What was the average number of assists LeBron James had per game in his senior year?,LeBron James averaged 4.6 assists per game in his senior year.
43,What was the controversy surrounding LeBron James' 18th birthday gift?,"For his 18th birthday, LeBron James received a Hummer H2 as a gift from his mother, which sparked an investigation by the Ohio High School Athletic Association (OHSAA) because it potentially violated amateur bylaws."
44,Why was LeBron James initially investigated by the OHSAA regarding his Hummer H2 gift?,"LeBron James was investigated because the OHSAA guidelines prohibit amateurs from accepting gifts valued over $100 as a reward for athletic performance, and the Hummer H2 far exceeded this value."
45,What led to LeBron James losing his high school sports eligibility?,"LeBron James lost his eligibility after accepting two throwback jerseys worth $845 from an urban clothing store in exchange for posing for pictures, officially violating OHSAA rules."
46,What was the outcome of LeBron James' appeal against the eligibility ruling?,"LeBron James' appeal resulted in his initial penalty being reduced to a two-game suspension, allowing him to play the remainder of the season."
47,How did LeBron James perform in his first game back after the suspension?,"In his first game back after the suspension, LeBron James scored a career-high 52 points."
48,What was the result of St. Vincent–St. Mary's season after LeBron James returned from suspension?,"St. Vincent–St. Mary went on to win the Division II championship, marking their third division title in four years."
49,What sport did LeBron James play as an underclassman at St. Vincent–St. Mary besides basketball?,LeBron James played as a wide receiver for the St. Vincent–St. Mary football team.
